location_description,primary_type,counts
POLICE FACILITY / VEHICLE PARKING LOT,NARCOTICS,3
POLICE FACILITY/VEH PARKING LOT,NARCOTICS,5918
POOL ROOM,THEFT,197
POOLROOM,HOMICIDE,1
PORCH,HOMICIDE,308
PRAIRIE,HOMICIDE,2
PUBLIC GRAMMAR SCHOOL,HOMICIDE,1
PUBLIC HIGH SCHOOL,HOMICIDE,2
RAILROAD PROPERTY,HOMICIDE,14
RESIDENCE,BATTERY,269617
RESIDENCE - GARAGE,BURGLARY,17
RESIDENCE - PORCH / HALLWAY,BATTERY,15
RESIDENCE - YARD (FRONT / BACK),BATTERY,11
RESIDENCE PORCH/HALLWAY,BATTERY,31398
RESIDENCE-GARAGE,BURGLARY,69576
RESIDENTIAL YARD (FRONT/BACK),THEFT,27817
RESTAURANT,THEFT,42912
RETAIL STORE,HOMICIDE,72
RIVER,HOMICIDE,4
RIVER BANK,HOMICIDE,4
ROOMING HOUSE,HOMICIDE,2
SAVINGS AND LOAN,DECEPTIVE PRACTICE,97
SCHOOL - PRIVATE BUILDING,SEX OFFENSE,2
SCHOOL - PRIVATE GROUNDS,ROBBERY,1
SCHOOL - PUBLIC BUILDING,SEX OFFENSE,13
SCHOOL - PUBLIC GROUNDS,SEX OFFENSE,2
SCHOOL YARD,HOMICIDE,11
"SCHOOL, PRIVATE, BUILDING",THEFT,4355
"SCHOOL, PRIVATE, GROUNDS",THEFT,1041
"SCHOOL, PUBLIC, BUILDING",BATTERY,51260
"SCHOOL, PUBLIC, GROUNDS",BATTERY,11041
SEWER,HOMICIDE,3
SIDEWALK,NARCOTICS,228055
SMALL RETAIL STORE,THEFT,72106
SPORTS ARENA/STADIUM,THEFT,1602
STAIRWELL,HOMICIDE,20
STREET,THEFT,403992
TAVERN,HOMICIDE,34
TAVERN / LIQUOR STORE,BURGLARY,1
TAVERN/LIQUOR STORE,THEFT,6728
TAXI CAB,HOMICIDE,6
TAXICAB,DECEPTIVE PRACTICE,3555
TRAILER,HOMICIDE,4
TRUCK,HOMICIDE,8
TRUCKING TERMINAL,HOMICIDE,1
VACANT LOT,HOMICIDE,105
VACANT LOT / LAND,BATTERY,3
VACANT LOT/LAND,NARCOTICS,5968
VEHICLE - COMMERCIAL,CRIMINAL SEXUAL ASSAULT,2
VEHICLE - DELIVERY TRUCK,THEFT,129
VEHICLE - OTHER RIDE SERVICE,THEFT,97
"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",THEFT,135
"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",CRIMINAL SEXUAL ASSAULT,3
VEHICLE NON-COMMERCIAL,THEFT,38074
VEHICLE-COMMERCIAL,THEFT,3049
VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS,THEFT,4
VEHICLE-COMMERCIAL - TROLLEY BUS,BATTERY,3
VESTIBULE,HOMICIDE,17
WAREHOUSE,THEFT,3609
WOODED AREA,HOMICIDE,7
YARD,HOMICIDE,215
YMCA,HOMICIDE,3
